transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,date,hour,dayofweek,time_of_day,log_amount
TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-16 21:45:13,2024-06-16,21,6,Night,7.881314418646684
TX100001,user_1860,Send Money,2844.69,Garissa,iOS,Safaricom,agent,0,0,0,2024-06-05 00:49:25,2024-06-05,0,2,Night,7.953560847910314
TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,0,0,1,2024-06-13 15:54:02,2024-06-13,15,3,Afternoon,7.777147256842406
TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,iOS,Safaricom,individual,0,0,1,2024-06-10 01:05:49,2024-06-10,1,0,Night,7.521323394369748
TX100004,user_6734,Send Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 02:28:53,2024-06-27,2,3,Night,6.926184414450504
TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 10:34:36,2024-06-24,10,0,Morning,7.491612009576173
TX100006,user_1466,Lipa Na M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-04 12:33:26,2024-06-04,12,1,Afternoon,6.26118629418277
TX100007,user_5426,Buy Airtime,428.61,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-07 00:58:59,2024-06-07,0,4,Night,6.062877820391151
TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-07 11:06:54,2024-06-07,11,4,Morning,7.1301625593153775
TX100009,user_9322,Lipa Na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 11:53:58,2024-06-24,11,0,Morning,9.841516399553376
TX100010,user_2685,Pay Bill,1383.42,Garissa,iOS,Safaricom,individual,0,0,0,2024-06-10 21:31:08,2024-06-10,21,0,Night,7.2330365583485445
TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 23:33:18,2024-06-27,23,3,Night,9.174412631033693
TX100012,user_7949,Pay Bill,1743.04,Kisumu,iOS,Airtel,individual,0,0,0,2024-06-24 19:49:50,2024-06-24,19,0,Evening,7.46395953998572
TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-13 11:43:59,2024-06-13,11,3,Morning,7.612919959259393
TX100014,user_6311,Lipa Na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,0,0,0,2024-06-23 06:58:02,2024-06-23,6,6,Morning,8.627483336460466
TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,0,1,0,2024-06-14 11:54:45,2024-06-14,11,4,Morning,5.843863206792214
TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-16 22:30:45,2024-06-16,22,6,Night,6.558864247355429
TX100017,user_2184,Lipa Na M-Pesa,12752.37,Meru,iOS,Telkom Kenya,individual,0,0,0,2024-06-27 23:27:43,2024-06-27,23,3,Night,9.453550829387344
TX100018,user_5555,Buy Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-28 16:02:31,2024-06-28,16,4,Afternoon,7.811438873817058
TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,0,1,0,2024-06-16 06:53:16,2024-06-16,6,6,Morning,5.072795990447863
TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,0,0,1,2024-06-11 17:11:11,2024-06-11,17,1,Evening,5.141020074658817
TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-25 17:20:46,2024-06-25,17,1,Evening,9.02679126204708
TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-12 02:34:27,2024-06-12,2,2,Night,8.886486586774996
TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,0,0,0,2024-06-05 01:35:12,2024-06-05,1,2,Night,7.671961860951113
TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,0,0,0,2024-06-01 19:48:01,2024-06-01,19,5,Evening,6.437255526687712
TX100025,user_3747,Deposit Cash,6207.71,Thika,iOS,Telkom Kenya,agent,0,0,0,2024-06-28 05:18:38,2024-06-28,5,4,Morning,8.73370842388017
