transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,date,hour,dayofweek,time_of_day,log_amount,anomaly_score,anomaly_flag,is_anomaly,tsne_x,tsne_y,umap_x,umap_y
TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-16 21:45:13,2024-06-16,21,6,Night,7.881314418646684,0.0689830611706359,1,0,54.691757,-18.959568,3.2393417,-7.0934467
TX100001,user_1860,Send Money,2844.69,Garissa,iOS,Safaricom,agent,0,0,0,2024-06-05 00:49:25,2024-06-05,0,2,Night,7.953560847910314,0.014249859301737389,1,0,-6.6644797,39.554543,7.054228,-2.409293
TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,0,0,1,2024-06-13 15:54:02,2024-06-13,15,3,Afternoon,7.777147256842406,-0.018039112155573633,-1,1,92.59457,-56.04514,-15.458237,11.271481
TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,iOS,Safaricom,individual,0,0,1,2024-06-10 01:05:49,2024-06-10,1,0,Night,7.521323394369748,0.028900484158121964,1,0,83.53071,-17.842789,-16.103281,9.92323
TX100004,user_6734,Send Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 02:28:53,2024-06-27,2,3,Night,6.926184414450504,0.10995526853981724,1,0,67.343216,6.3682775,3.9666736,-6.531871
TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 10:34:36,2024-06-24,10,0,Morning,7.491612009576173,0.032999893113491496,1,0,63.71336,-66.00681,-15.279918,11.004476
TX100006,user_1466,Lipa Na M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-04 12:33:26,2024-06-04,12,1,Afternoon,6.26118629418277,0.056601278417371725,1,0,63.694996,-61.930096,-15.305599,11.165532
TX100007,user_5426,Buy Airtime,428.61,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-07 00:58:59,2024-06-07,0,4,Night,6.062877820391151,0.05856901979090029,1,0,-31.301641,88.38132,7.4665775,-4.006486
TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,iOS,Safaricom,individual,0,0,0,2024-06-07 11:06:54,2024-06-07,11,4,Morning,7.1301625593153775,0.046521364359674855,1,0,-36.877125,97.68695,7.914331,-2.9072256
TX100009,user_9322,Lipa Na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 11:53:58,2024-06-24,11,0,Morning,9.841516399553376,0.06548124034218905,1,0,50.203754,23.194395,-9.322862,-6.8958435
